iteration,sign_ns,verify_ns,total_ns
436,149385,31502,180900
437,149434,31636,181083
438,147690,31686,179390
439,141985,31445,173444
440,178263,30849,209126
441,136692,31659,168365
442,149515,31396,180925
443,140942,31622,172580
444,142469,31265,173749
445,155466,31345,186825
446,151320,31567,182902
447,137365,31718,169096
448,137473,31119,168605
449,216015,31515,247543
450,181108,31561,212683
451,152783,31162,183960
452,140532,31428,171974
453,149343,31035,180392
454,149639,31241,180891
455,269231,31202,300448
456,153858,30758,184630
457,212112,31744,243870
458,141507,31615,173135
459,177713,31587,209314
460,206242,31316,237572
461,152525,31478,184018
462,137866,31077,168957
463,137420,31519,168953
464,149080,31272,180366
465,153152,31239,184406
466,151535,31649,183198
467,222705,31076,253794
468,152236,32119,184369
469,152446,31218,183679
470,149778,32025,181817
471,143060,31539,174613
472,176891,31004,207910
473,140148,31310,171472
474,149273,31543,180830
475,137810,31216,169038
476,144560,31410,175986
477,152586,31317,183916
478,148168,31547,179728
479,138095,31749,169858
480,137801,31156,168970
481,215844,31200,247057
482,140693,31587,172295
483,149180,31716,180911
484,138286,31163,169463
485,148202,31319,179536
486,148764,31271,180050
487,260227,31353,291595
488,150315,31253,181583
489,221323,31324,252662
490,143018,31666,174699
491,182150,31063,213228
492,229967,31301,261282
493,151038,31616,182669
494,138685,31183,169883
495,136752,31273,168040
496,150059,31416,181487
497,152647,31572,184234
498,150524,31461,181998
499,271632,31005,302650
500,147741,31092,178847
501,151204,31777,182996
502,150605,31639,182260
503,138612,31562,170188
504,179307,31416,210736
505,138182,32757,170954
506,152244,31532,183790
507,148366,31204,179585
508,144165,31142,175322
509,151365,31433,182813
510,149257,31309,180586
511,137282,31587,168897
512,139491,31617,171121
513,210497,31279,241790
514,140668,31296,171977
515,150759,31080,181858
516,137539,31279,168829
517,149753,32488,182255
518,152629,31073,183714
519,270572,31301,301886
520,150781,31159,181951
521,215389,31329,246732
522,151500,31260,182776
523,181119,31768,212901
524,210867,31331,242212
525,190176,31273,221465
526,137236,31027,168276
527,140791,30974,171779
528,153080,31213,184307
529,149415,30905,180333
530,148938,31456,180408
531,261395,31477,292887
532,153108,31463,184585
533,150501,31076,181592
534,149501,31481,180997
535,137985,31456,169456
536,178028,31372,209413
537,140237,31513,171764
538,153635,31001,184651
539,141329,31606,172949
540,141735,31643,173398
541,149716,31350,181081
542,148235,31168,179419
543,139772,31507,171298
544,140970,31316,172301
545,205575,31666,237255
546,140052,31526,171592
547,152071,30948,183032
548,143380,31662,175056
549,152596,31787,184397
550,150420,31420,181853
551,271050,30833,301898
552,149050,31305,180370
553,219026,30901,249940
554,143317,31214,174545
555,181521,31001,212537
556,212337,31709,244060
557,188899,32604,221518
558,140754,31450,172225
559,138008,31335,169364
560,149730,31414,181163
561,149034,31558,180606
562,149336,31924,181280
563,184612,31354,215985
564,151440,31136,182595
565,149346,31484,180846
566,148463,30832,179308
567,136567,31646,168229
568,179169,31050,210231
569,140669,31277,171958
570,150568,31478,182061
571,142342,31339,173694
572,143738,31245,174997
573,149069,31484,180568
574,152077,30976,183067
575,139928,31154,171094
576,137590,31717,169321
577,206303,31504,237820
578,139477,31311,170802
579,149869,31160,181043
580,140785,31334,172134
581,149635,31388,181036
582,150034,31428,181477
583,257381,31068,288462
584,149418,31678,181111
585,216367,30760,247141
586,141581,32154,173749
587,176935,31954,208902
588,218104,31350,249468
589,194354,31175,225542
590,139804,31416,171235
591,138758,31619,170392
592,149525,31327,180867
593,151273,30932,182219
594,148831,32186,181031
595,266633,31584,298230
596,149893,31750,181657
597,149372,31128,180515
598,148023,31461,179498
599,140189,31191,171395
600,138928,31045,169987
601,136872,31385,168272
602,150773,31267,182054
603,136765,31172,167951
604,141577,31419,173010
605,154041,31530,185586
606,152013,31523,183550
607,138284,31581,169879
608,139498,31258,170769
609,213237,31504,244755
610,179510,31738,211262
611,151682,31314,183010
612,139538,31348,170899
613,149155,31210,180380
614,148762,31586,180363
615,323882,31543,355439
616,153091,31158,184262
617,249781,31728,281523
618,142765,31572,174351
619,177203,31575,208792
620,223230,31029,254274
621,199393,31126,230534
622,137053,31478,168546
623,138037,31078,169128
624,150044,31017,181075
625,157049,31367,188430
626,151089,31255,182358
627,213124,31467,244604
628,149414,31535,180964
629,148455,31207,179675
630,151805,31469,183289
631,139635,31879,171529
632,180672,31391,212075
633,138038,30901,168953
634,149997,31022,181032
635,145797,31515,177327
636,145137,31349,176500
637,150784,31290,182088
638,151669,30891,182579
639,138272,31044,169331
640,137172,31110,168297
641,213093,31383,244490
642,140956,31582,172551
643,149696,31597,181307
644,138337,31226,169576
645,149436,31546,180997
646,152547,31282,183844
647,261514,31213,292743
648,151763,31351,183129
649,215691,31544,247251
650,140831,31375,172220
651,183051,30894,213959
652,213037,31516,244568
653,201966,31473,233453
654,140049,31450,171515
655,136866,32580,169460
656,155598,31198,186810
657,150464,31576,182054
658,149973,31238,181227
659,181208,31343,212565
660,150628,31476,182119
661,153286,30492,183793
662,151301,31234,182549
663,137972,31162,169147
664,178118,31121,209253
665,136184,31436,167634
666,152961,30985,183961
667,142713,31080,173809
668,142991,31578,174583
669,152009,31422,183447
670,149916,31037,180967
671,139239,31320,170573
672,140419,31499,171934
673,208288,31472,239774
674,139185,31324,170524
675,149209,30791,180016
676,137722,31696,169433
677,150354,31362,181733
678,151080,30979,182073
679,182179,31011,213204
680,148729,31441,180184
681,213739,30523,244277
682,141359,31266,172638
683,181372,30749,212134
684,147009,31019,178044
685,150079,31372,181464
686,138114,31478,169607
687,137419,31603,169037
688,154469,31164,185647
689,151601,31435,183050
690,149770,31305,181090
691,178399,30978,209392
692,148721,31247,179983
693,149527,31393,180932
694,150746,30989,181750
695,137568,31228,168812
696,175590,31648,207252
697,137048,31353,168415
698,150794,31096,181903
699,143770,30492,174275
700,143171,31004,174187
701,149549,31110,180673
702,149424,31751,181188
703,139134,31904,171052
704,139566,32826,172406
705,209688,31487,241190
706,139603,31373,170992
707,149890,31485,181388
708,139004,31433,170452
709,148403,31067,179485
710,151115,31752,182881
711,138426,31264,169706
712,149149,30735,179899
713,137593,31482,169087
714,138954,31612,170581
715,180679,31714,212407
716,139335,31236,170586
717,190318,31285,221616
718,138977,31519,170510
719,138013,31263,169291
720,151037,31146,182199
721,153283,31249,184548
722,148693,31178,179885
723,175972,31221,207208
724,147943,31412,179368
725,147287,31281,178581
726,150421,31376,181811
727,139131,31178,170323
728,176974,31310,208299
729,135966,31053,167035
730,149313,31246,180571
731,136535,30996,167545
732,143266,31087,174367
733,151408,31517,182939
734,148323,31313,179654
735,138511,31235,169760
736,136142,31449,167604
737,219180,30842,250037
738,140311,30763,171088
739,150282,31077,181373
740,136614,31624,168251
741,148467,31159,179640
742,149935,31075,181024
743,182978,31369,214362
744,150748,31505,182268
745,138420,31189,169624
746,139537,31464,171022
747,175421,31293,206729
748,140341,31088,171444
749,198262,31395,229672
750,139540,31288,170842
751,137569,31481,169067
752,151051,31436,182499
753,152057,31494,183564
754,154646,31127,185794
755,179125,31194,210340
756,149032,31247,180295
757,147994,31331,179344
758,146973,30918,177910
759,141329,31390,172733
760,178495,30976,209486
761,138852,31590,170460
762,150187,31006,181207
763,140931,31483,172428
764,143753,31386,175153
765,151833,31440,183288
766,149480,31504,181005
767,138294,31539,169849
768,139479,31237,170731
769,205405,31124,236543
770,170943,31442,202398
771,151888,31030,182932
772,138432,31247,169693
773,150081,31190,181284
774,149625,31395,181035
775,178202,31465,209681
776,150889,31565,182469
777,138738,31268,170021
778,141705,31446,173166
779,178330,31524,209869
780,137644,33258,170918
781,195120,31246,226386
782,139011,31097,170127
783,138689,31574,170282
784,148736,31149,179904
785,151039,31178,182238
